Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Chiedozie Ogbene,"MF,DF",0.9440777280283636,-0.05017825246332611,1.5130858390957842,-0.4253968448505363,0.09729260630794402,-0.18004827218682773,1.8822853756011648,England,26.0,1.0,0.99232,4.071565494140757,3.8570540535228557
Jorge de Frutos,"FW,MF",0.4518600556113568,-0.17562425131852935,0.09907680481817517,-0.44080969934272984,-0.08447802254916494,-0.300251708848013,1.1625472397796028,Spain,26.0,3.0,0.8173900000000001,3.560003205856742,3.8577614860134104
Wesley Saïd,"FW,MF",-0.13195866346621407,-0.10862319678006459,-0.2672321843375963,-0.4477129009264123,1.4302772179267431,-0.08388552285787954,1.077859968766267,France,28.0,5.0,0.6495000000000001,3.662983979698074,3.857827176620917
Marc Roca,MF,0.9275233220053701,-0.2892151046199781,-0.4810404395767629,0.3432703967467947,-0.17536333697771941,-0.08388552285787954,1.5723636363636362,Spain,26.0,3.0,0.8173900000000001,3.826383863636364,3.8579127753687485
Pep Biel,"MF,FW",-0.9431245585928957,0.06262775030950883,-0.6785135989148046,0.18783614813860666,-0.44801928026338284,-0.300251708848013,1.386842105263158,Germany,26.0,4.0,0.78425,3.697509868421053,3.86210518313072
Lewis Cook,MF,1.8170467389742209,0.27560283706948296,-0.6444998041059953,0.0806078596958239,-0.44801928026338284,-0.05984483552564246,1.3863578259963412,England,26.0,1.0,0.99232,3.749212586897622,3.8686190248066947
Oriol Romeu,MF,-0.2246633371949777,-0.37518575695568995,-0.4539828191866948,0.48585778847329086,-0.44801928026338284,-0.05984483552564246,1.683846153846154,Spain,31.0,3.0,0.8173900000000001,4.3988475000000005,3.8687160175997293
Jérémie Bela,"MF,FW",-1.0336219781852602,0.11211971200035721,1.7184019902917718,0.04519048407684223,-0.44801928026338284,-0.300251708848013,2.3889483829513813,France,30.0,5.0,0.6495000000000001,4.715191448918398,3.8688623286135244
Nelson Weiper,"FW,MF",-1.120808516573026,0.2252441958651541,0.92217357269527,-0.6418221575757914,-0.44801928026338284,-0.300251708848013,1.447004608294931,Germany,18.0,4.0,0.78425,2.936615495391705,3.869663334270359
Antonio Sánchez,MF,0.3448082299959988,-0.39694046539122774,-0.017371217437866324,-0.16226671937442036,0.12758771111746223,-0.1560075848545907,1.3265641907499617,Spain,26.0,3.0,0.8173900000000001,3.6666142239874753,3.871885924676107
Alessandro Di Pardo,"DF,MF",-0.8614561555461278,0.06262775030950883,-0.30336960262359447,-0.3409148150340817,-0.44801928026338284,-0.300251708848013,1.102367688022284,Italy,24.0,2.0,0.87481,3.335241497214485,3.875921770067509
Pontus Almqvist,"FW,MF",1.0676839596667151,-0.0249349511435308,0.37214998372126584,-0.6613459997069365,-0.17536333697771941,-0.2040889595190648,1.140236245482093,Italy,24.0,2.0,0.87481,3.3598560595633606,3.88042983884163
Sergi Guardiola,"FW,MF",-0.7113628742709867,-0.4133949357715618,-0.1683746039581968,-0.1803556180680231,0.09729260630794402,0.13248066313225396,1.2720000000000002,Spain,32.0,3.0,0.8173900000000001,4.2311475000000005,3.8814578030682347
Andrés Guardado,MF,-0.7643369735445659,-0.1650352734683945,-0.5172383299419996,0.6937132571315838,-0.44801928026338284,-0.300251708848013,1.851006711409396,Spain,36.0,3.0,0.8173900000000001,5.007501862416108,3.882070359341439
Suat Serdar,MF,0.5732590331133092,-0.23432401983558238,-0.4835847366116336,-0.12634544106072249,-0.44801928026338284,-0.03580414819340541,1.1725746520952909,Italy,26.0,2.0,0.87481,3.580876023861939,3.8839178396631158
Loïc Nego,"DF,MF",0.4651035804297516,-0.3913823260105875,-0.20643130400145585,-0.12612124646311618,-0.44801928026338284,0.10843997580001695,1.285209581082232,France,32.0,5.0,0.6495000000000001,4.197761227703451,3.8841336391492054
Manu Bueno,MF,-1.128533906050423,0.32531585466862795,-0.6193349437926672,-0.44458536092842343,-0.44801928026338284,-0.300251708848013,0.9230769230769232,Spain,19.0,3.0,0.8173900000000001,2.7043475000000003,3.885354223181235
Gerard Gumbau,MF,1.6934405073358696,0.18144178628787583,-0.6606420564466648,0.0705932265488373,-0.44801928026338284,-0.05984483552564246,1.3494749791608431,Spain,28.0,3.0,0.8173900000000001,3.881506236454548,3.8869086566774063
