Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Makoto Hasebe,"DF,MF",0.06573765525598303,0.0,0.0,0.04587155963302753,0.0,0.0,0.8256880733944956,Germany,39.0,4.0,0.78425,4.632759747706422,0.5432716727061265
Youssouf Fofana,MF,0.8167222053923053,0.13333333333333333,0.03930292918057101,0.09232480533926586,0.021666666666666667,0.011555555555555557,2.3342395253985915,France,24.0,5.0,0.6495000000000001,4.0796306915090845,0.5434144328064584
Theo Corbeanu,"MF,FW",0.054831869130566493,0.0,0.05494505494505495,0.027472527472527476,0.08166666666666667,0.0,1.038010989010989,Spain,21.0,3.0,0.8173900000000001,2.979054642857143,0.5451790561343092
José Campaña,MF,0.051499545592244775,0.0,0.011695906432748537,0.08771929824561404,0.0,0.0,1.6842105263157898,Spain,30.0,3.0,0.8173900000000001,4.299084342105264,0.5480118638354696
Edan Diop,"MF,DF",0.04907603756437443,0.0,0.049079754601227,0.04294478527607362,0.0,0.0,1.2147239263803682,France,18.0,5.0,0.6495000000000001,2.75194555214724,0.5483347497388569
Atakan Karazor,MF,0.7943047561345047,0.09965635738831614,0.018299656881433472,0.05413648494090736,0.0,0.012444444444444445,1.380466355645866,Germany,26.0,4.0,0.78425,3.693365631169813,0.5495738967526776
Eric Martel,MF,0.744016964556195,0.04395604395604395,0.017094017094017092,0.030525030525030535,0.006666666666666666,0.0035555555555555557,0.8072087912087913,Germany,21.0,4.0,0.78425,2.8207482142857145,0.5523015310643432
Filip Stojilković,"FW,MF",0.0463495910330203,0.0,0.05194805194805196,0.01948051948051948,0.0,0.0,0.8181818181818183,Germany,23.0,4.0,0.78425,3.027880681818182,0.5523366168465387
Pablo Pagis,MF,0.049681914571342016,0.0,0.012121212121212123,0.030303030303030307,0.0,0.0,0.6545454545454547,France,20.0,5.0,0.6495000000000001,2.5878295454545457,0.5523442718991564
Milan Badelj,MF,0.7676461678279309,0.06382978723404256,0.014201183431952662,0.05956607495069033,0.006666666666666666,0.009777777777777778,1.364659574468085,Italy,34.0,2.0,0.87481,4.505731223404256,0.552398879164561
Urko González,MF,0.04695546803998788,0.0,0.01282051282051282,0.03846153846153846,0.0,0.0,0.8076923076923077,Spain,22.0,3.0,0.8173900000000001,2.9293475000000004,0.5530130608689644
David Ozoh,"MF,DF",0.04695546803998788,0.0,0.025641025641025633,0.02564102564102564,0.0,0.0,0.6923076923076923,England,18.0,1.0,0.99232,2.49808,0.5530386195833881
Leandro Paredes,MF,0.7976370796728264,0.09215017064846416,0.027334851936218683,0.0812452543659833,0.016666666666666666,0.015111111111111113,1.953728587310596,Italy,29.0,2.0,0.87481,4.388626081751887,0.5532610702190128
Tim Iroegbunam,MF,0.049378976067858224,0.0,0.03658536585365855,0.006097560975609757,0.0,0.0,0.4390243902439025,England,20.0,1.0,0.99232,2.5334458536585367,0.5533739930403346
Matt Ritchie,"FW,MF",0.038473189942441685,0.0,0.078125,0.0625,0.11666666666666665,0.0,1.898125,England,33.0,1.0,0.99232,4.78186125,0.5546552104366329
Marten de Roon,"MF,DF",0.7870342320508936,0.0795847750865052,0.02154674874951905,0.0684878799538284,0.0,0.015111111111111113,1.636872128087593,Italy,32.0,2.0,0.87481,4.482669383256936,0.5551832399690054
Habib Maïga,"MF,FW",0.04422902150863375,0.0,0.01360544217687075,0.020408163265306124,0.0,0.0,0.489795918367347,France,27.0,5.0,0.6495000000000001,3.180742346938776,0.5565156453179159
Víctor Díaz,"DF,MF",0.04877309906089064,0.0,0.0,0.01234567901234568,0.0,0.0,0.2222222222222222,Spain,35.0,3.0,0.8173900000000001,3.848791944444444,0.5566731597920241
