Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Correlation with Target
Emre Can,"MF,DF",0.8977253911639818,-0.2363766818411937,-0.25662705756021137,0.19163602453037443,-0.17536333697771941,-0.08388552285787954,1.5567373271889402,Germany,29.0,4.0,0.78425,4.107941762672811,-0.4992030535163887
Alessandro Deiola,MF,0.5169740526351312,-0.566943181366816,-0.7334772686139541,-0.1509700387291617,-0.2662486514062739,-0.300251708848013,0.9348960226798968,Italy,27.0,2.0,0.87481,3.526384914741933,-0.5006637645820625
Máximo Perrone,MF,0.5335284586581247,-0.6203613210242012,-0.6639586225218206,0.020267672783761254,-0.44801928026338284,-0.300251708848013,1.0981515711645102,Spain,20.0,3.0,0.8173900000000001,2.9181460212569315,-0.5017038944450257
Aaron Ramsey,"MF,FW",-0.6760468080886005,-0.9213395558492259,-0.36267832533406086,-0.6614953930470123,-0.44801928026338284,-0.300251708848013,0.5803878686521082,England,20.0,1.0,0.99232,2.6253321146238706,-0.5017834643781321
Klaus Gjasula,"DF,MF",0.24658542092623736,-0.7138388539661217,-0.7229378157027923,0.08865676682847563,-0.44801928026338284,-0.300251708848013,1.1095509030041837,Germany,33.0,4.0,0.78425,4.217270586952719,-0.501818644331198
Nemanja Maksimović,MF,2.3456841046418138,-0.5739506770584578,-0.6893247251725918,-0.5126536587100758,-0.11477312735868307,-0.300251708848013,0.6449294377718435,Spain,28.0,3.0,0.8173900000000001,3.4235516345516985,-0.502965471324462
Roberto Gagliardini,"MF,DF",1.3469016079212055,-0.38053309750244035,-0.32702601842990553,0.07808488280329029,-0.3268388610253102,-0.10792621019011657,1.385756501487903,Italy,29.0,2.0,0.87481,4.0194442259671375,-0.503113296611579
Jordan Clark,MF,0.1814714239024629,-0.3220442553841899,-0.32692543509529554,-0.165289323531327,-0.23595354659675571,-0.13196689752235363,1.187382272054157,England,29.0,1.0,0.99232,3.919878476835202,-0.5034241297989491
Nicolás Domínguez,"MF,FW",0.3922641939285802,-0.5271017691151806,-0.5877023634332638,0.2858991986018667,-0.08447802254916494,-0.01176346086116837,1.432695974533586,Italy,25.0,2.0,0.87481,3.649954883446831,-0.5038007627585015
Nicolás Domínguez,"MF,FW",0.3922641939285802,-0.5271017691151806,-0.5877023634332638,0.2858991986018667,-0.08447802254916494,-0.01176346086116837,1.432695974533586,England,25.0,1.0,0.99232,3.6793323834468312,-0.5038007627585015
