Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR
Nicolás Paz,"MF,FW",23.0,0.0,11.73913043478261,23.47826086956522,0.0,0.0,7.043478260869566
Trévis Dago,"FW,MF",23.0,3.3333333333333335,3.91304347826087,0.0,0.0,3.91,2.622275362318841
Thilo Kehrer,"DF,MF",22.0,0.0,0.0,4.090909090909091,0.0,0.0,0.8181818181818182
Lorenzo Amatucci,MF,22.0,0.0,4.090909090909091,8.181818181818182,0.0,0.0,2.4545454545454546
Nolan Mbemba,MF,22.0,0.0,0.0,20.454545454545457,4.09,0.0,4.4999090909090915
Michael Obafemi,"FW,MF",20.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Ebonog,MF,20.0,0.0,0.0,4.5,0.0,0.0,0.9
Javier Rueda Garcia,"MF,DF",20.0,0.0,0.0,4.5,0.0,0.0,0.9
Karlo Lulić,MF,19.0,0.0,4.7368421052631575,0.0,0.0,0.0,0.9473684210526315
Gonzalo García,"FW,MF",19.0,0.0,4.7368421052631575,0.0,0.0,0.0,0.9473684210526315
Pablo Saenz,MF,19.0,0.0,0.0,9.473684210526315,0.0,0.0,1.894736842105263
José Pozo,MF,19.0,0.0,0.0,4.7368421052631575,0.0,0.0,0.9473684210526315
Timothy Chandler,"MF,DF",18.0,10.0,5.0,25.0,0.0,5.0,9.5
Marcus Müller,MF,18.0,0.0,0.0,5.0,0.0,0.0,1.0
Mario Martín,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofiane Sidi Ali,MF,18.0,0.0,0.0,5.0,0.0,0.0,1.0
Yvandro Borges Sanches,"MF,FW",18.0,0.0,5.0,0.0,0.0,0.0,1.0
Mamadou Sylla,"FW,MF",18.0,0.0,0.0,5.0,0.0,0.0,1.0
Jesús Corona,"MF,DF",17.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Ribeiro,"MF,FW",17.0,0.0,10.588235294117647,10.588235294117647,0.0,0.0,4.235294117647059
Karamoko Dembélé,"MF,FW",16.0,0.0,0.0,5.625,0.0,0.0,1.125
Noah Mbamba,MF,16.0,5.0,5.625,11.25,0.0,5.63,6.064
Jon Karrikaburu,"MF,FW",16.0,0.0,0.0,0.0,0.0,0.0,0.0
Han-Noah Massengo,"MF,DF",16.0,0.0,11.25,0.0,0.0,0.0,2.25
Daouda Traoré,MF,16.0,0.0,5.625,5.625,0.0,0.0,2.25
Federico Di Francesco,"FW,MF",15.0,0.0,6.0,6.0,6.0,0.0,3.0000000000000004
Ebenezer Akinsanmiro,MF,15.0,5.0,0.0,12.0,0.0,0.0,3.4000000000000004
Marc Casado,MF,15.0,0.0,6.0,6.0,0.0,0.0,2.4000000000000004
Miloš Pantović,MF,15.0,0.0,6.0,0.0,6.0,0.0,1.8000000000000003
João Costa,"MF,FW",14.0,5.0,0.0,6.428571428571429,0.0,0.0,2.2857142857142856
Joshua M'Bahia,MF,14.0,5.0,0.0,6.428571428571429,0.0,0.0,2.2857142857142856
Mohamed Bechikh,"FW,MF",14.0,0.0,0.0,0.0,0.0,0.0,0.0
José Mari,"MF,FW",14.0,10.0,0.0,6.428571428571429,0.0,0.0,3.2857142857142856
Salim El Jebari,MF,13.0,0.0,6.923076923076923,0.0,0.0,0.0,1.3846153846153848
Joe White,MF,13.0,0.0,13.846153846153847,20.76923076923077,0.0,0.0,6.923076923076923
Myles Peart-Harris,"DF,MF",13.0,10.0,13.846153846153847,6.923076923076923,0.0,0.0,6.153846153846154
Yanis Issoufou,MF,13.0,0.0,0.0,6.923076923076923,0.0,0.0,1.3846153846153848
Domingos Quina,MF,13.0,0.0,0.0,6.923076923076923,0.0,0.0,1.3846153846153848
Chaim El Djebali,MF,12.0,0.0,7.5,15.0,0.0,0.0,4.5
Julien Duranville,"FW,MF",12.0,0.0,15.0,0.0,0.0,0.0,3.0
Hugo Boutsingkham,"MF,FW",11.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Galdames Millán,"MF,DF",11.0,0.0,0.0,40.909090909090914,0.0,0.0,8.181818181818183
Niccolò Pisilli,MF,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Ferraris,MF,10.0,0.0,0.0,9.0,0.0,0.0,1.8
Peru Nolaskoain,"DF,MF",10.0,0.0,0.0,0.0,0.0,0.0,0.0
Sydie Peck,MF,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Hianga Mananga Mbock,"MF,FW",9.0,10.0,10.0,20.0,0.0,0.0,8.0
Przemysław Szymiński,MF,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Asier Osambela,MF,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Xabier Huarte Armendáriz,MF,9.0,0.0,0.0,10.0,0.0,0.0,2.0
Ibrahima Kebe,MF,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Soro,MF,8.0,10.0,0.0,0.0,0.0,0.0,2.0
Christian Kühlwetter,MF,8.0,10.0,11.25,0.0,0.0,11.25,7.625
Simone Pafundi,MF,8.0,0.0,0.0,11.25,0.0,0.0,2.25
Zack Nelson,"MF,DF",7.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuele Di Benedetto,MF,7.0,10.0,0.0,0.0,0.0,0.0,2.0
Alois Confais,"MF,FW",7.0,0.0,0.0,0.0,0.0,0.0,0.0
Gino Caoki,MF,7.0,0.0,12.857142857142858,0.0,0.0,0.0,2.5714285714285716
Fabian Rüdlin,MF,7.0,0.0,0.0,12.857142857142858,0.0,0.0,2.5714285714285716
Asaf Arania,MF,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaine Kesler-Hayden,"MF,DF",6.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,MF,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Mladenović,MF,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomás Mendes,MF,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Castro,MF,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Milutin Osmajić,MF,5.0,10.0,0.0,0.0,0.0,0.0,2.0
Jérémy Jacquet,MF,5.0,0.0,18.0,0.0,0.0,0.0,3.6
