Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore
David Ozoh,"MF,DF",156.0,0.0,1.1538461538461535,2.3076923076923075,0.0,0.0,0.6923076923076923,England,18,1,0.99232,2.49808
Filip Stojilković,"FW,MF",154.0,0.0,2.337662337662338,1.7532467532467533,0.0,0.0,0.8181818181818183,Germany,23,4,0.78425,3.027880681818182
Marquinhos,"FW,MF",154.0,2.9411764705882355,1.168831168831169,2.337662337662338,0.0,0.0,1.2895339954163485,France,20,5,0.6495000000000001,3.000572097020626
Marquinhos,"FW,MF",154.0,2.9411764705882355,1.168831168831169,2.337662337662338,0.0,0.0,1.2895339954163485,France,29,5,0.6495000000000001,3.9005720970206266
Stefan Schimmer,"MF,FW",153.0,0.5882352941176471,0.5882352941176471,1.1764705882352942,0.0,0.59,0.6475882352941177,Germany,29,4,0.78425,3.5169948529411768
Malick Mbaye,"MF,FW",153.0,1.1764705882352942,4.705882352941177,0.5882352941176471,0.0,0.0,1.2941176470588236,France,19,5,0.6495000000000001,2.9035514705882353
Anass Zaroury,"FW,MF",152.0,1.1764705882352942,1.1842105263157894,1.1842105263157894,0.0,0.0,0.7089783281733746,England,22,1,0.99232,2.9089159133126934
Calum Chambers,"MF,DF",152.0,0.5882352941176471,0.0,2.960526315789474,0.0,0.59,0.8867523219814242,England,28,1,0.99232,3.624469009287926
Fede San Emeterio,MF,152.0,0.5882352941176471,0.0,2.3684210526315788,0.59,0.0,0.6503312693498452,Spain,26,3,0.8173900000000001,3.2270628250773994
Mikel Jauregizar,MF,151.0,1.1764705882352942,1.1920529801324502,2.980132450331126,0.0,0.0,1.0697312037397742,Spain,19,3,0.8173900000000001,2.7996727824308536
Jens Petter Hauge,"MF,FW",147.0,1.25,4.285714285714286,3.673469387755102,0.0,0.0,1.841836734693877,Germany,23,4,0.78425,3.6932563775510205
Habib Maïga,"MF,FW",147.0,0.0,0.6122448979591837,1.836734693877551,0.0,0.0,0.489795918367347,France,27,5,0.6495000000000001,3.180742346938776
Renato Sanches,MF,146.0,1.875,3.0821917808219177,6.164383561643835,0.62,0.0,2.286315068493151,Italy,25,2,0.87481,4.204807294520548
Chris Bedia,"FW,MF",145.0,1.875,0.6206896551724138,0.6206896551724138,0.62,0.0,0.6852758620689655,Germany,27,4,0.78425,3.3414918103448277
Tawanda Chirewa,"MF,FW",145.0,0.625,0.6206896551724138,4.344827586206897,0.0,0.0,1.1181034482758625,England,19,1,0.99232,2.8748472413793107
Nathan Redmond,"FW,MF",142.0,1.875,4.436619718309859,5.070422535211268,0.0,0.0,2.276408450704225,England,29,1,0.99232,4.627745492957747
Alberto Risco,MF,137.0,2.6666666666666665,1.9708029197080288,3.9416058394160585,0.0,0.0,1.7158150851581508,Spain,17,3,0.8173900000000001,3.0196273053527984
Jesurun Rak Sakyi,"MF,FW",136.0,1.3333333333333333,4.632352941176471,1.3235294117647058,0.0,0.0,1.457843137254902,England,20,1,0.99232,3.1956780392156867
Iron Gomis,MF,134.0,2.0,2.014925373134328,2.686567164179104,0.0,0.0,1.3402985074626868,Italy,23,2,0.87481,3.3898965298507466
Hannibal Mejbri,MF,133.0,3.333333333333333,1.3533834586466165,4.060150375939849,0.68,0.0,1.81737343358396,England,20,1,0.99232,3.429372731829574
Hannibal Mejbri,MF,133.0,3.333333333333333,1.3533834586466165,4.060150375939849,0.68,0.0,1.81737343358396,Spain,20,3,0.8173900000000001,3.385640231829574
Rabby Nzingoula,"MF,FW",133.0,1.3333333333333333,2.0300751879699246,5.413533834586466,0.0,0.68,1.9593884711779448,France,17,5,0.6495000000000001,3.1359775062656645
Denis Suárez,"MF,FW",133.0,2.0,2.706766917293233,8.796992481203008,0.0,0.0,2.700751879699248,Spain,29,3,0.8173900000000001,4.859836221804512
Ayyoub Bouaddi,MF,131.0,0.6666666666666666,0.6870229007633588,8.244274809160306,0.0,0.0,1.9195928753180664,France,15,5,0.6495000000000001,2.910110368956743
Aboubacar Ali,"MF,FW",130.0,0.7142857142857143,2.076923076923077,2.076923076923077,0.0,0.69,1.1806263736263738,France,17,5,0.6495000000000001,2.629782142857143
Sacha Delaye,"MF,FW",130.0,1.4285714285714286,1.3846153846153846,2.769230769230769,0.0,0.0,1.1164835164835163,France,21,5,0.6495000000000001,2.9880892857142856
Matt Ritchie,"FW,MF",128.0,0.0,3.515625,5.625,0.7,0.0,1.898125,England,33,1,0.99232,4.78186125
Ibou Sané,"MF,FW",128.0,0.7142857142857143,4.21875,4.921875,0.7,0.0,2.040982142857143,France,18,5,0.6495000000000001,3.289013392857143
Nelson Weiper,"FW,MF",124.0,1.4285714285714286,4.354838709677419,1.4516129032258065,0.0,0.0,1.447004608294931,Germany,18,4,0.78425,2.936615495391705
Youssef Maziz,"FW,MF",124.0,2.142857142857143,1.4516129032258065,4.354838709677419,0.73,0.0,1.6628617511520738,France,25,5,0.6495000000000001,3.7432351382488482
Fabio González,MF,123.0,0.0,0.0,6.585365853658536,0.0,0.0,1.3170731707317074,Spain,26,3,0.8173900000000001,3.66044506097561
Jon Magunacelaya,"FW,MF",121.0,0.7692307692307692,1.487603305785124,1.487603305785124,0.0,0.0,0.7488874761602035,Spain,23,3,0.8173900000000001,2.9911243595041324
Tyler Adams,MF,121.0,0.7692307692307692,2.975206611570248,3.7190082644628095,0.0,0.0,1.4926891290527653,England,24,1,0.99232,3.6183279338842977
Naatan Skyttä,"MF,FW",120.0,3.846153846153846,0.75,9.0,0.0,0.0,2.7192307692307693,France,21,5,0.6495000000000001,4.0298750000000005
Leander Dendoncker,MF,119.0,0.0,0.0,2.26890756302521,0.76,0.0,0.529781512605042,England,28,1,0.99232,3.3924379831932776
Leander Dendoncker,MF,119.0,0.0,0.0,2.26890756302521,0.76,0.0,0.529781512605042,Italy,28,2,0.87481,3.3630604831932773
Mamadou Coulibaly,MF,118.0,0.7692307692307692,1.5254237288135593,3.8135593220338975,0.0,0.0,1.2216427640156455,Italy,24,2,0.87481,3.41277029661017
Mamadou Coulibaly,MF,118.0,0.7692307692307692,1.5254237288135593,3.8135593220338975,0.0,0.0,1.2216427640156455,France,19,5,0.6495000000000001,2.8564427966101698
Mert Kömür,"MF,DF",118.0,0.7692307692307692,5.338983050847458,3.0508474576271185,0.76,0.0,1.907812255541069,Germany,18,4,0.78425,3.236140466101695
Manu Bueno,MF,117.0,1.5384615384615383,0.7692307692307692,2.3076923076923075,0.0,0.0,0.9230769230769232,Spain,19,3,0.8173900000000001,2.7043475000000003
Benson Manuel,"MF,FW",116.0,0.7692307692307692,3.879310344827586,1.5517241379310345,0.0,0.0,1.240053050397878,England,26,1,0.99232,3.6541144827586205
Silvan Hefti,"MF,DF",114.0,0.0,0.7894736842105263,1.5789473684210529,0.0,0.0,0.4736842105263158,Italy,25,2,0.87481,3.0265972368421052
Silvan Hefti,"MF,DF",114.0,0.0,0.7894736842105263,1.5789473684210529,0.0,0.0,0.4736842105263158,France,25,5,0.6495000000000001,2.970269736842105
Bilal Nadir,"MF,FW",113.0,1.5384615384615383,2.3893805309734515,3.185840707964602,0.0,0.0,1.4227365554799185,France,19,5,0.6495000000000001,2.987153761061947
Mathias Olesen,"MF,FW",112.0,0.8333333333333334,1.6071428571428572,5.625,0.0,0.0,1.613095238095238,Germany,22,4,0.78425,3.444574404761905
Maxwel Cornet,"MF,FW",112.0,3.333333333333333,2.4107142857142856,1.6071428571428572,0.8,0.0,1.5502380952380954,England,26,1,0.99232,3.8557347619047624
N'Guessan Kouadio,"MF,FW",110.0,0.0,0.8181818181818181,4.090909090909091,0.0,0.0,0.981818181818182,France,20,5,0.6495000000000001,2.8005568181818186
Juan Cruz,"FW,MF",109.0,0.8333333333333334,2.4770642201834865,3.302752293577982,0.0,0.0,1.3226299694189605,Italy,24,2,0.87481,3.478411980122325
Juan Cruz,"FW,MF",109.0,0.8333333333333334,2.4770642201834865,3.302752293577982,0.0,0.0,1.3226299694189605,Spain,23,3,0.8173900000000001,3.364056980122325
Michel Ndary Adopo,MF,109.0,1.6666666666666667,2.4770642201834865,7.431192660550459,0.0,0.83,2.5639847094801227,Italy,23,2,0.87481,4.18529256116208
Emran Soglo,"MF,DF",109.0,1.6666666666666667,0.8256880733944955,2.4770642201834865,0.83,0.83,1.3258837920489297,France,18,5,0.6495000000000001,2.8241994648318043
Naby Keïta,"MF,DF",109.0,0.0,0.8256880733944955,10.73394495412844,0.0,0.0,2.3119266055045875,Germany,28,4,0.78425,4.498814793577982
Kieffer Moore,"FW,MF",108.0,1.6666666666666667,1.6666666666666667,3.333333333333333,0.83,0.0,1.4163333333333332,England,30,1,0.99232,4.1686966666666665
Lilian Egloff,"MF,DF",106.0,0.0,1.6981132075471697,1.6981132075471697,0.0,0.0,0.6792452830188679,Germany,20,4,0.78425,2.6375719339622643
Florent Muslija,"MF,FW",105.0,5.0,5.142857142857142,11.142857142857142,0.0,0.0,4.257142857142857,Germany,25,4,0.78425,5.463205357142858
Kjell-Arik Wätjen,"MF,FW",105.0,2.5,2.571428571428571,6.857142857142857,0.0,0.86,2.6437142857142857,Germany,17,4,0.78425,3.614476785714286
Junior Adamu,"FW,MF",105.0,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.0,0.0,0.5095238095238095,Germany,22,4,0.78425,2.7272529761904765
Pablo Gozalbez,"MF,FW",103.0,0.0,0.0,0.0,0.0,0.0,0.0,Spain,22,3,0.8173900000000001,2.4043475
Eric Curbelo,"DF,MF",102.0,0.0,0.0,3.5294117647058822,0.0,0.0,0.7058823529411765,Spain,29,3,0.8173900000000001,3.563171029411765
Eliot Matazo,MF,102.0,1.818181818181818,1.7647058823529411,8.823529411764707,0.0,0.88,2.745283422459893,France,21,5,0.6495000000000001,4.04680922459893
Paxten Aaronson,MF,101.0,0.9090909090909092,1.7821782178217822,4.455445544554456,0.0,0.89,1.6963429342934295,Germany,19,4,0.78425,3.1986854072907294
Mamady Bangré,"FW,MF",101.0,5.454545454545454,8.910891089108912,8.01980198019802,0.0,0.89,4.744047704770477,France,22,5,0.6495000000000001,5.4460060081008095
Trivante Stewart,"FW,MF",100.0,0.9090909090909092,1.7999999999999998,0.0,0.0,0.0,0.5418181818181818,Italy,23,2,0.87481,2.8708843181818184
Gino Infantino,MF,96.0,0.9090909090909092,0.0,6.5625,0.0,0.0,1.494318181818182,Italy,20,2,0.87481,3.1900093181818185
