Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Correlation with Target
Kieffer Moore,"FW,MF",0.03241441987276583,0.16666666666666669,0.037037037037037035,0.037037037037037035,0.1383333333333333,0.0,1.4163333333333332,England,30,1,0.99232,4.1686966666666665,-0.2645850768689857
Paul Pogba,MF,0.01605574068464105,0.16666666666666669,0.037037037037037035,0.09259259259259262,0.0,0.0,2.333333333333334,Italy,30,2,0.87481,4.735369166666667,-0.2659801933971249
Famara Diedhiou,"FW,MF",0.02665858830657375,0.1,0.11235955056179772,0.0,0.0,0.08977777777777779,1.5142359550561797,Spain,30,3,0.8173900000000001,4.188600870786517,-0.26701875907864026
Jack Cork,MF,0.007876401090578633,0.0,0.29629629629629634,0.1481481481481482,0.0,0.0,5.333333333333334,England,34,1,0.99232,7.114746666666667,-0.2673843019111094
Renato Sanches,MF,0.04392608300514994,0.1875,0.0684931506849315,0.0684931506849315,0.10333333333333332,0.0,2.286315068493151,Italy,25,2,0.87481,4.204807294520548,-0.26792834440106655
Andres Sfait,"DF,MF",0.006664647076643437,0.33333333333333326,0.08695652173913043,0.04347826086956522,0.0,0.0,2.231884057971014,Italy,18,2,0.87481,3.4694271376811594,-0.27094176353038685
Rodrigo Ribeiro,"MF,FW",0.004847016055740672,0.0,0.23529411764705888,0.11764705882352944,0.0,0.0,4.235294117647059,England,18,1,0.99232,4.801021176470588,-0.27283027984031694
Philippe Coutinho,"MF,FW",0.007270524083611063,0.0,0.3999999999999999,0.2,0.0,0.0,7.2,England,31,1,0.99232,8.028080000000001,-0.2750288102189884
Kjell-Arik Wätjen,"MF,FW",0.03150560436231442,0.24999999999999997,0.057142857142857134,0.0761904761904762,0.0,0.07644444444444444,2.6437142857142857,Germany,17,4,0.78425,3.614476785714286,-0.2817165264624563
Myles Peart-Harris,"DF,MF",0.0036352620418055315,1.0000000000000002,0.30769230769230776,0.07692307692307693,0.0,0.0,6.153846153846154,England,20,1,0.99232,6.24808,-0.2820454285225088
Ibou Sané,"MF,FW",0.0384731899424417,0.07142857142857142,0.09374999999999999,0.0546875,0.11666666666666664,0.0,2.040982142857143,France,18,5,0.6495000000000001,3.289013392857143,-0.28490629028615855
Mert Kömür,"MF,DF",0.03544380490760374,0.07692307692307693,0.11864406779661016,0.03389830508474576,0.12666666666666665,0.0,1.907812255541069,Germany,18,4,0.78425,3.236140466101695,-0.2881519183896506
Diego Méndez,MF,0.0012117540139351402,0.0,0.3999999999999999,0.2,0.0,0.0,7.2,Spain,19,3,0.8173900000000001,6.784347500000001,-0.2886708153466713
Bambasé Conté,"MF,FW",0.01423810966373823,0.19999999999999998,0.12499999999999999,0.04166666666666667,0.0,0.0,2.275,Germany,20,4,0.78425,3.6748125,-0.2943463681562053
Valentin Rosier,"DF,MF",0.015752802181157266,0.33333333333333326,0.11320754716981131,0.09433962264150944,0.0,0.0,3.383647798742139,France,26,5,0.6495000000000001,4.96174606918239,-0.29459227827208395
Nicolás Paz,"MF,FW",0.006664647076643437,0.0,0.26086956521739135,0.26086956521739135,0.0,0.0,7.043478260869566,Spain,18,3,0.8173900000000001,6.582608369565218,-0.29584653290683477
Chaim El Djebali,MF,0.0033323235383217464,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,4.5,France,19,5,0.6495000000000001,4.987375,-0.2998673325727914
Joe White,MF,0.0036352620418055315,0.0,0.30769230769230776,0.23076923076923078,0.0,0.0,6.923076923076923,England,20,1,0.99232,6.74808,-0.3001783339924925
